,Facility,Address,City,State,Zip,Score,Mismatch,Facility.1,Address.1,City.1,State.1,Zip.1,Flag,Str1,Str2
96,SCRIPPS MEMORIAL HOSPITAL,354 SANTA FE DR,ENCINITAS,CA,92024,100.0,,Scripps Memorial Hospital - Encinit,354 Santa Fe Dr,Encinitas,CA,92024,y,"SCRIPPS MEMORIAL HOSPITAL, 354 SANTA FE DR, ENCINITAS, CA, 92024","Scripps Memorial Hospital - Encinit, 354 Santa Fe Dr, Encinitas, CA, 92024"
97,PALOMAR MEDICAL CENTER,555 E VALLEY PKWY,ESCONDIDO,CA,92025,100.0,,Palomar Medical Center,555 E Valley Pkwy,Escondido,CA,92025,y,"PALOMAR MEDICAL CENTER, 555 E VALLEY PKWY, ESCONDIDO, CA, 92025","Palomar Medical Center, 555 E Valley Pkwy, Escondido, CA, 92025"
98,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,9888 GENESEE AVE,LA JOLLA,CA,92037,100.0,,Scripps Memorial Hospital - La Joll,9888 Genesee Ave,La Jolla,CA,92037,y,"SCRIPPS MEMORIAL HOSPITAL LA JOLLA, 9888 GENESEE AVE, LA JOLLA, CA, 92037","Scripps Memorial Hospital - La Joll, 9888 Genesee Ave, La Jolla, CA, 92037"
99,POMERADO HOSPITAL,15615 POMERADO RD,POWAY,CA,92064,100.0,,Pomerado Hospital,15615 Pomerado Rd,Poway,CA,92064,y,"POMERADO HOSPITAL, 15615 POMERADO RD, POWAY, CA, 92064","Pomerado Hospital, 15615 Pomerado Rd, Poway, CA, 92064"
100,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,100.0,,Scripps Mercy Hospital-San Diego,4077 5th Ave,San Diego,CA,92103,y,"SCRIPPS MERCY HOSPITAL, 4077 5TH AVE, SAN DIEGO, CA, 92103","Scripps Mercy Hospital-San Diego, 4077 5th Ave, San Diego, CA, 92103"
101,ALVARADO HOSPITAL MEDICAL CENTER,6655 ALVARADO RD,SAN DIEGO,CA,92120,100.0,,Alvarado Hospital Medical Center,6655 Alvarado Rd,San Diego,CA,92120,y,"ALVARADO HOSPITAL MEDICAL CENTER, 6655 ALVARADO RD, SAN DIEGO, CA, 92120","Alvarado Hospital Medical Center, 6655 Alvarado Rd, San Diego, CA, 92120"
102,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,100.0,,Sharp Memorial Hospital,7901 Frost St,San Diego,CA,92123,y,"SHARP MEMORIAL HOSPITAL, 7901 FROST ST, SAN DIEGO, CA, 92123","Sharp Memorial Hospital, 7901 Frost St, San Diego, CA, 92123"
103,PIONEERS MEMORIAL HOSPITAL,207 W LEGION RD,BRAWLEY,CA,92227,100.0,,Pioneers Memorial Hospital,207 W Legion Rd,Brawley,CA,92227,y,"PIONEERS MEMORIAL HOSPITAL, 207 W LEGION RD, BRAWLEY, CA, 92227","Pioneers Memorial Hospital, 207 W Legion Rd, Brawley, CA, 92227"
105,DESERT REGIONAL MEDICAL CENTER,1150 N INDIAN CANYON DR,PALM SPRINGS,CA,92262,100.0,,Desert Regional Medical Center,1150 N Indian Canyon Dr,Palm Springs,CA,92262,y,"DESERT REGIONAL MEDICAL CENTER, 1150 N INDIAN CANYON DR, PALM SPRINGS, CA, 92262","Desert Regional Medical Center, 1150 N Indian Canyon Dr, Palm Springs, CA, 92262"
106,EISENHOWER MEDICAL CENTER,39000 BOB HOPE DR,RANCHO MIRAGE,CA,92270,100.0,,Eisenhower Memorial Hospital,39000 Bob Hope Dr,Rancho Mirage,CA,92270,y,"EISENHOWER MEDICAL CENTER, 39000 BOB HOPE DR, RANCHO MIRAGE, CA, 92270","Eisenhower Memorial Hospital, 39000 Bob Hope Dr, Rancho Mirage, CA, 92270"
107,ST MARY MEDICAL CENTER,18300 US HIGHWAY 18,APPLE VALLEY,CA,92307,100.0,,St Mary Regional Medical Center,18300 Us Highway 18,Apple Valley,CA,92307,y,"ST MARY MEDICAL CENTER, 18300 US HIGHWAY 18, APPLE VALLEY, CA, 92307","St Mary Regional Medical Center, 18300 Us Highway 18, Apple Valley, CA, 92307"
109,REDLANDS COMMUNITY HOSPITAL,350 TERRACINA BLVD,REDLANDS,CA,92373,100.0,,Redlands Community Hospital,350 Terracina Blvd,Redlands,CA,92373,y,"REDLANDS COMMUNITY HOSPITAL, 350 TERRACINA BLVD, REDLANDS, CA, 92373","Redlands Community Hospital, 350 Terracina Blvd, Redlands, CA, 92373"
110,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,92404,100.0,,St Bernardine Medical Center,2101 N Waterman Ave,San Bernardino,CA,92404,y,"ST BERNARDINE MEDICAL CENTER, 2101 N WATERMAN AVE, SAN BERNARDINO, CA, 92404","St Bernardine Medical Center, 2101 N Waterman Ave, San Bernardino, CA, 92404"
111,COMMUNITY HOSPITAL OF SAN BERNARDIN,1805 MEDICAL CENTER DR,SAN BERNARDINO,CA,92411,100.0,,Community Hospital of San Bernardin,1805 Medical Center Dr,San Bernardino,CA,92411,y,"COMMUNITY HOSPITAL OF SAN BERNARDIN, 1805 MEDICAL CENTER DR, SAN BERNARDINO, CA, 92411","Community Hospital of San Bernardin, 1805 Medical Center Dr, San Bernardino, CA, 92411"
112,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVE,RIVERSIDE,CA,92501,100.0,,Riverside Community Hospital,4445 Magnolia Ave,Riverside,CA,92501,y,"RIVERSIDE COMMUNITY HOSPITAL, 4445 MAGNOLIA AVE, RIVERSIDE, CA, 92501","Riverside Community Hospital, 4445 Magnolia Ave, Riverside, CA, 92501"
113,HEMET VALLEY MEDICAL CENTER,1117 E DEVONSHIRE AVE,HEMET,CA,92543,100.0,,Hemet Valley Medical Center,1117 E Devonshire Ave,Hemet,CA,92543,y,"HEMET VALLEY MEDICAL CENTER, 1117 E DEVONSHIRE AVE, HEMET, CA, 92543","Hemet Valley Medical Center, 1117 E Devonshire Ave, Hemet, CA, 92543"
114,RIVERSIDE COUNTY REGIONAL,26520 CACTUS AVE,MORENO VALLEY,CA,92555,100.0,,Riverside County Regional Medical C,26520 Cactus Ave,Moreno Valley,CA,92555,y,"RIVERSIDE COUNTY REGIONAL, 26520 CACTUS AVE, MORENO VALLEY, CA, 92555","Riverside County Regional Medical C, 26520 Cactus Ave, Moreno Valley, CA, 92555"
115,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL BLVD,SUN CITY,CA,92585,100.0,,Menifee Valley Medical Center,28400 McCall Blvd,Sun City,CA,92585,y,"MENIFEE VALLEY MEDICAL CENTER, 28400 MCCALL BLVD, SUN CITY, CA, 92585","Menifee Valley Medical Center, 28400 McCall Blvd, Sun City, CA, 92585"
116,SADDLEBACK MEMORIAL MEDICAL CENTER,24451 HEALTH CENTER DR,LAGUNA HILLS,CA,92653,100.0,,Saddleback Memorial Medical Center,24451 Health Center Dr,Laguna Hills,CA,92653,y,"SADDLEBACK MEMORIAL MEDICAL CENTER, 24451 HEALTH CENTER DR, LAGUNA HILLS, CA, 92653","Saddleback Memorial Medical Center, 24451 Health Center Dr, Laguna Hills, CA, 92653"
117,HOAG MEMORIAL HOSPITAL,1 HOAG DR,NEWPORT BEACH,CA,92663,100.0,,Hoag Memorial Hospital Presbyterian,1 Hoag Dr,Newport Beach,CA,92663,y,"HOAG MEMORIAL HOSPITAL, 1 HOAG DR, NEWPORT BEACH, CA, 92663","Hoag Memorial Hospital Presbyterian, 1 Hoag Dr, Newport Beach, CA, 92663"
118,SADDLEBACK MEMORIAL MEDICAL CENTER,654 CAMINO DE LOS MARES,SAN CLEMENTE,CA,92673,100.0,,Saddleback Memorial Medical Center-,654 Camino De Los Mares,San Clemente,CA,92673,y,"SADDLEBACK MEMORIAL MEDICAL CENTER, 654 CAMINO DE LOS MARES, SAN CLEMENTE, CA, 92673","Saddleback Memorial Medical Center-, 654 Camino De Los Mares, San Clemente, CA, 92673"
119,FOUNTAIN VALLEY REGIONAL HOSPITAL,17100 EUCLID ST,FOUNTAIN VALLEY,CA,92708,100.0,,Fountain Valley Regional Hospital &,17100 Euclid St,Fountain Valley,CA,92708,y,"FOUNTAIN VALLEY REGIONAL HOSPITAL, 17100 EUCLID ST, FOUNTAIN VALLEY, CA, 92708","Fountain Valley Regional Hospital &, 17100 Euclid St, Fountain Valley, CA, 92708"
120,ANAHEIM REGIONAL MED CTR,1111 W LA PALMA AVE,ANAHEIM,CA,92801,100.0,,Anaheim Memorial Medical Center,1111 W La Palma Ave,Anaheim,CA,92801,y,"ANAHEIM REGIONAL MED CTR, 1111 W LA PALMA AVE, ANAHEIM, CA, 92801","Anaheim Memorial Medical Center, 1111 W La Palma Ave, Anaheim, CA, 92801"
121,ST JUDE MEDICAL CENTER,101 E VALENCIA MESA DR,FULLERTON,CA,92835,100.0,,St Jude Medical Center,101 E Valencia Mesa Dr,Fullerton,CA,92835,y,"ST JUDE MEDICAL CENTER, 101 E VALENCIA MESA DR, FULLERTON, CA, 92835","St Jude Medical Center, 101 E Valencia Mesa Dr, Fullerton, CA, 92835"
122,CHILDRENS HOSPITAL OF ORANGE COUNTY,455 S MAIN ST,ORANGE,CA,92868,100.0,,Childrens Hospital of Orange County,455 S Main St,Orange,CA,92868,y,"CHILDRENS HOSPITAL OF ORANGE COUNTY, 455 S MAIN ST, ORANGE, CA, 92868","Childrens Hospital of Orange County, 455 S Main St, Orange, CA, 92868"
123,PLACENTIA LINDA HOSPITAL,1301 N ROSE DR,PLACENTIA,CA,92870,100.0,,Placentia Linda Hospital,1301 N Rose Dr,Placentia,CA,92870,y,"PLACENTIA LINDA HOSPITAL, 1301 N ROSE DR, PLACENTIA, CA, 92870","Placentia Linda Hospital, 1301 N Rose Dr, Placentia, CA, 92870"
124,CORONA REGIONAL MEDICAL CENTER,800 S MAIN ST,CORONA,CA,92882,100.0,,Corona Regional Medical Center - Ma,800 S Main St,Corona,CA,92882,y,"CORONA REGIONAL MEDICAL CENTER, 800 S MAIN ST, CORONA, CA, 92882","Corona Regional Medical Center - Ma, 800 S Main St, Corona, CA, 92882"
125,COMMUNITY MEMORIAL HOSPITAL,147 N BRENT ST,VENTURA,CA,93003,100.0,,Community Memorial Hospital - San B,147 N Brent St,Ventura,CA,93003,y,"COMMUNITY MEMORIAL HOSPITAL, 147 N BRENT ST, VENTURA, CA, 93003","Community Memorial Hospital - San B, 147 N Brent St, Ventura, CA, 93003"
126,VENTURA COUNTY MEDICAL CENTER,3291 LOMA VISTA RD,VENTURA,CA,93003,100.0,,Ventura County Medical Center,3291 Loma Vista Rd,Ventura,CA,93003,y,"VENTURA COUNTY MEDICAL CENTER, 3291 LOMA VISTA RD, VENTURA, CA, 93003","Ventura County Medical Center, 3291 Loma Vista Rd, Ventura, CA, 93003"
127,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,93030,100.0,,St Johns Regional Medical Center,1600 N Rose Ave,Oxnard,CA,93030,y,"ST JOHNS REGIONAL MEDICAL CENTER, 1600 N ROSE AVE, OXNARD, CA, 93030","St Johns Regional Medical Center, 1600 N Rose Ave, Oxnard, CA, 93030"
128,GOLETA VALLEY COTTAGE HOSP,351 S PATTERSON AVE,SANTA BARBARA,CA,93111,100.0,,Goleta Valley Cottage Hospital,351 S Patterson Ave,Santa Barbara,CA,93111,y,"GOLETA VALLEY COTTAGE HOSP, 351 S PATTERSON AVE, SANTA BARBARA, CA, 93111","Goleta Valley Cottage Hospital, 351 S Patterson Ave, Santa Barbara, CA, 93111"
130,FRENCH HOSPITAL MEDICAL CENTER,1911 JOHNSON AVE,SAN LUIS OBISPO,CA,93401,100.0,,French Hospital Medical Center,1911 Johnson Ave,San Luis Obispo,CA,93401,y,"FRENCH HOSPITAL MEDICAL CENTER, 1911 JOHNSON AVE, SAN LUIS OBISPO, CA, 93401","French Hospital Medical Center, 1911 Johnson Ave, San Luis Obispo, CA, 93401"
131,CALIFORNIA MENS COLONY,HIGHWAY 1 N,SAN LUIS OBISPO,CA,93409,100.0,,California Mens Colony Hospital,Hwy 1,San Luis Obispo,CA,93409,y,"CALIFORNIA MENS COLONY, HIGHWAY 1 N, SAN LUIS OBISPO, CA, 93409","California Mens Colony Hospital, Hwy 1, San Luis Obispo, CA, 93409"
132,ARROYO GRANDE HOSPITAL,345 S HALCYON RD,ARROYO GRANDE,CA,93420,100.0,,Arroyo Grande Community Hospital,345 S Halcyon Rd,Arroyo Grande,CA,93420,y,"ARROYO GRANDE HOSPITAL, 345 S HALCYON RD, ARROYO GRANDE, CA, 93420","Arroyo Grande Community Hospital, 345 S Halcyon Rd, Arroyo Grande, CA, 93420"
133,MARIAN MEDICAL CENTER,1400 E CHURCH ST,SANTA MARIA,CA,93454,100.0,,Marian Medical Center,1400 E Church St,Santa Maria,CA,93454,y,"MARIAN MEDICAL CENTER, 1400 E CHURCH ST, SANTA MARIA, CA, 93454","Marian Medical Center, 1400 E Church St, Santa Maria, CA, 93454"
134,NORTHERN INYO HOSPITAL,150 PIONEER LN,BISHOP,CA,93514,100.0,,Northern Inyo Hospital,150 Pioneer Ln,Bishop,CA,93514,y,"NORTHERN INYO HOSPITAL, 150 PIONEER LN, BISHOP, CA, 93514","Northern Inyo Hospital, 150 Pioneer Ln, Bishop, CA, 93514"
136,RIDGECREST REGIONAL HOSPITAL,1081 N CHINA LAKE BLVD,RIDGECREST,CA,93555,100.0,,Ridgecrest Regional Hospital,1081 N China Lake Blvd,Ridgecrest,CA,93555,y,"RIDGECREST REGIONAL HOSPITAL, 1081 N CHINA LAKE BLVD, RIDGECREST, CA, 93555","Ridgecrest Regional Hospital, 1081 N China Lake Blvd, Ridgecrest, CA, 93555"
137,NATIVIDAD MEDICAL CENTER,1441 CONSTITUTION BLVD,SALINAS,CA,93906,100.0,,Natividad Medical Center,1441 Constitution Blvd,Salinas,CA,93906,y,"NATIVIDAD MEDICAL CENTER, 1441 CONSTITUTION BLVD, SALINAS, CA, 93906","Natividad Medical Center, 1441 Constitution Blvd, Salinas, CA, 93906"
138,SETON MEDICAL CENTER,1900 SULLIVAN AVE,DALY CITY,CA,94015,100.0,,Seton Medical Center,1900 Sullivan Ave,Daly City,CA,94015,y,"SETON MEDICAL CENTER, 1900 SULLIVAN AVE, DALY CITY, CA, 94015","Seton Medical Center, 1900 Sullivan Ave, Daly City, CA, 94015"
139,EL CAMINO HOSPITAL,2500 GRANT RD,MOUNTAIN VIEW,CA,94040,100.0,,El Camino Hospital,2500 Grant Rd,Mountain View,CA,94040,y,"EL CAMINO HOSPITAL, 2500 GRANT RD, MOUNTAIN VIEW, CA, 94040","El Camino Hospital, 2500 Grant Rd, Mountain View, CA, 94040"
140,SEQUOIA HOSPITAL,170 ALAMEDA DE LAS PULGAS,REDWOOD CITY,CA,94062,100.0,,Sequoia Hospital,170 Alameda de las Pulgas,Redwood City,CA,94062,y,"SEQUOIA HOSPITAL, 170 ALAMEDA DE LAS PULGAS, REDWOOD CITY, CA, 94062","Sequoia Hospital, 170 Alameda de las Pulgas, Redwood City, CA, 94062"
141,SAN FRANCISCO GENERAL HOSPITAL,1001 POTRERO AVE RM 1P2,SAN FRANCISCO,CA,94110,100.0,,San Francisco General Hospital,1001 Potrero Ave,San Francisco,CA,94110,y,"SAN FRANCISCO GENERAL HOSPITAL, 1001 POTRERO AVE RM 1P2, SAN FRANCISCO, CA, 94110","San Francisco General Hospital, 1001 Potrero Ave, San Francisco, CA, 94110"
142,CALIFORNIA PACIFIC MEDICAL CENTER,2333 BUCHANAN ST,SAN FRANCISCO,CA,94115,100.0,,California Pacific Medical Center -,2333 Buchanan St,San Francisco,CA,94115,y,"CALIFORNIA PACIFIC MEDICAL CENTER, 2333 BUCHANAN ST, SAN FRANCISCO, CA, 94115","California Pacific Medical Center -, 2333 Buchanan St, San Francisco, CA, 94115"
144,CHINESE HOSPITAL,845 JACKSON ST,SAN FRANCISCO,CA,94133,100.0,,Chinese Hospital,845 Jackson St,San Francisco,CA,94133,y,"CHINESE HOSPITAL, 845 JACKSON ST, SAN FRANCISCO, CA, 94133","Chinese Hospital, 845 Jackson St, San Francisco, CA, 94133"
145,STANFORD UNIV MEDICAL CENTER,300 PASTEUR DR,STANFORD,CA,94305,100.0,,Stanford Hospital,300 Pasteur Dr,Palo Alto,CA,94305,y,"STANFORD UNIV MEDICAL CENTER, 300 PASTEUR DR, STANFORD, CA, 94305","Stanford Hospital, 300 Pasteur Dr, Palo Alto, CA, 94305"
146,MILLS PENINSULA HEALTH SERVICE,100 S SAN MATEO DR,SAN MATEO,CA,94401,100.0,,Mills Peninsula Health Center,100 S San Mateo Dr,San Mateo,CA,94401,y,"MILLS PENINSULA HEALTH SERVICE, 100 S SAN MATEO DR, SAN MATEO, CA, 94401","Mills Peninsula Health Center, 100 S San Mateo Dr, San Mateo, CA, 94401"
148,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,CA,94501,100.0,,Alameda Hospital,2070 Clinton Ave,Alameda,CA,94501,y,"ALAMEDA HOSPITAL, 2070 CLINTON AVE, ALAMEDA, CA, 94501","Alameda Hospital, 2070 Clinton Ave, Alameda, CA, 94501"
149,SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,ANTIOCH,CA,94509,100.0,,Sutter Delta Medical Center,3901 Lone Tree Way,Antioch,CA,94509,y,"SUTTER DELTA MEDICAL CENTER, 3901 LONE TREE WAY, ANTIOCH, CA, 94509","Sutter Delta Medical Center, 3901 Lone Tree Way, Antioch, CA, 94509"
150,JOHN MUIR MEDICAL CENTER,2540 EAST ST,CONCORD,CA,94520,100.0,,John Muir Medical Center-Concord Ca,2540 East St,Concord,CA,94520,y,"JOHN MUIR MEDICAL CENTER, 2540 EAST ST, CONCORD, CA, 94520","John Muir Medical Center-Concord Ca, 2540 East St, Concord, CA, 94520"
151,WASHINGTON HOSPITAL,2000 MOWRY AVE,FREMONT,CA,94538,100.0,,Washington Hospital - Fremont,2000 Mowry Ave,Fremont,CA,94538,y,"WASHINGTON HOSPITAL, 2000 MOWRY AVE, FREMONT, CA, 94538","Washington Hospital - Fremont, 2000 Mowry Ave, Fremont, CA, 94538"
153,EDEN MEDICAL CENTER,20103 LAKE CHABOT RD,CASTRO VALLEY,CA,94546,100.0,,Eden Medical Center,20103 Lake Chabot Rd,Castro Valley,CA,94546,y,"EDEN MEDICAL CENTER, 20103 LAKE CHABOT RD, CASTRO VALLEY, CA, 94546","Eden Medical Center, 20103 Lake Chabot Rd, Castro Valley, CA, 94546"
154,CONTRA COSTA REGIONAL MEDICAL,2500 ALHAMBRA AVE BLDG 1,MARTINEZ,CA,94553,100.0,,Contra Costa Regional Medical Cente,2500 Alhambra Ave,Martinez,CA,94553,y,"CONTRA COSTA REGIONAL MEDICAL, 2500 ALHAMBRA AVE BLDG 1, MARTINEZ, CA, 94553","Contra Costa Regional Medical Cente, 2500 Alhambra Ave, Martinez, CA, 94553"
155,QUEEN OF THE VALLEY HOSPITAL,1000 TRANCAS ST,NAPA,CA,94558,100.0,,Queen of the Valley Hospital - Napa,1000 Trancas St,Napa,CA,94558,y,"QUEEN OF THE VALLEY HOSPITAL, 1000 TRANCAS ST, NAPA, CA, 94558","Queen of the Valley Hospital - Napa, 1000 Trancas St, Napa, CA, 94558"
156,NAPA STATE HOSPITAL,2100 NAPA VALLEJO HWY,NAPA,CA,94558,100.0,,Napa State Hospital,2100 Napa Vallejo Hwy,Napa,CA,94558,y,"NAPA STATE HOSPITAL, 2100 NAPA VALLEJO HWY, NAPA, CA, 94558","Napa State Hospital, 2100 Napa Vallejo Hwy, Napa, CA, 94558"
157,SAN RAMON REGIONAL MEDICAL CENTER,6001 NORRIS CANYON RD,SAN RAMON,CA,94583,100.0,,San Ramon Regional Medical Center,6001 Norris Canyon Rd,San Ramon,CA,94583,y,"SAN RAMON REGIONAL MEDICAL CENTER, 6001 NORRIS CANYON RD, SAN RAMON, CA, 94583","San Ramon Regional Medical Center, 6001 Norris Canyon Rd, San Ramon, CA, 94583"
158,VALLEY CARE MEDICAL CENTER,5555 W LAS POSITAS BLVD,PLEASANTON,CA,94588,100.0,,Valley Care Medical Center,5555 W Las Positas Blvd,Pleasanton,CA,94588,y,"VALLEY CARE MEDICAL CENTER, 5555 W LAS POSITAS BLVD, PLEASANTON, CA, 94588","Valley Care Medical Center, 5555 W Las Positas Blvd, Pleasanton, CA, 94588"
159,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,VALLEJO,CA,94589,100.0,,Sutter Solano Medical Center,300 Hospital Dr,Vallejo,CA,94589,y,"SUTTER SOLANO MEDICAL CENTER, 300 HOSPITAL DR, VALLEJO, CA, 94589","Sutter Solano Medical Center, 300 Hospital Dr, Vallejo, CA, 94589"
160,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVE,OAKLAND,CA,94609,100.0,,Alta Bates Summit Medical Center,350 Hawthorne Ave,Oakland,CA,94609,y,"ALTA BATES SUMMIT MEDICAL CENTER, 350 HAWTHORNE AVE, OAKLAND, CA, 94609","Alta Bates Summit Medical Center, 350 Hawthorne Ave, Oakland, CA, 94609"
161,ALTA BATES SUMMIT MEDICAL CENTER,2001 DWIGHT WAY,BERKELEY,CA,94704,100.0,,Alta Bates Summit Medical Center,2001 Dwight Way,Berkeley,CA,94704,y,"ALTA BATES SUMMIT MEDICAL CENTER, 2001 DWIGHT WAY, BERKELEY, CA, 94704","Alta Bates Summit Medical Center, 2001 Dwight Way, Berkeley, CA, 94704"
162,ALTA BATES SUMMIT MEDICAL CENTER,2450 ASHBY AVE,BERKELEY,CA,94705,100.0,,Alta Bates Summit Medical Center,2450 Ashby Ave,Berkeley,CA,94705,y,"ALTA BATES SUMMIT MEDICAL CENTER, 2450 ASHBY AVE, BERKELEY, CA, 94705","Alta Bates Summit Medical Center, 2450 Ashby Ave, Berkeley, CA, 94705"
163,MEDICAL CENTER,2000 VALE RD,SAN PABLO,CA,94806,100.0,,Doctors Medical Center - San Pablo,2000 Vale Rd,San Pablo,CA,94806,y,"MEDICAL CENTER, 2000 VALE RD, SAN PABLO, CA, 94806","Doctors Medical Center - San Pablo, 2000 Vale Rd, San Pablo, CA, 94806"
164,MARIN GENERAL HOSPITAL,250 BON AIR RD,GREENBRAE,CA,94904,100.0,,Marin General Hospital,250 Bon Air Rd,Greenbrae,CA,94904,y,"MARIN GENERAL HOSPITAL, 250 BON AIR RD, GREENBRAE, CA, 94904","Marin General Hospital, 250 Bon Air Rd, Greenbrae, CA, 94904"
165,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,100.0,,Petaluma Valley Hospital,400 N McDowell Blvd,Petaluma,CA,94954,y,"PETALUMA VALLEY HOSPITAL, 400 N MCDOWELL BLVD, PETALUMA, CA, 94954","Petaluma Valley Hospital, 400 N McDowell Blvd, Petaluma, CA, 94954"
166,ST LOUISE REGIONAL HOSPITAL,9400 N NAME UNO,GILROY,CA,95020,100.0,,St Louise Regional Hospital,9400 N Name Uno,Gilroy,CA,95020,y,"ST LOUISE REGIONAL HOSPITAL, 9400 N NAME UNO, GILROY, CA, 95020","St Louise Regional Hospital, 9400 N Name Uno, Gilroy, CA, 95020"
167,HAZEL HAWKINS MEMORIAL HOSPITAL,911 SUNSET DR,HOLLISTER,CA,95023,100.0,,Hazel Hawkins Memorial Hospital,911 Sunset Dr,Hollister,CA,95023,y,"HAZEL HAWKINS MEMORIAL HOSPITAL, 911 SUNSET DR, HOLLISTER, CA, 95023","Hazel Hawkins Memorial Hospital, 911 Sunset Dr, Hollister, CA, 95023"
168,DOMINICAN HOSPITAL,1555 SOQUEL DR,SANTA CRUZ,CA,95065,100.0,,Dominican Hospital - Santa Cruz Soq,1555 Soquel Dr,Santa Cruz,CA,95065,y,"DOMINICAN HOSPITAL, 1555 SOQUEL DR, SANTA CRUZ, CA, 95065","Dominican Hospital - Santa Cruz Soq, 1555 Soquel Dr, Santa Cruz, CA, 95065"
169,WATSONVILLE COMMUNITY HOSPITAL,75 NEILSON ST,WATSONVILLE,CA,95076,100.0,,Watsonville Community Hospital,75 Neilson St,Watsonville,CA,95076,y,"WATSONVILLE COMMUNITY HOSPITAL, 75 NEILSON ST, WATSONVILLE, CA, 95076","Watsonville Community Hospital, 75 Neilson St, Watsonville, CA, 95076"
170,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVE,SAN JOSE,CA,95116,100.0,,Regional Medical Center of San Jose,225 N Jackson Ave,San Jose,CA,95116,y,"REGIONAL MEDICAL CENTER OF SAN JOSE, 225 N JACKSON AVE, SAN JOSE, CA, 95116","Regional Medical Center of San Jose, 225 N Jackson Ave, San Jose, CA, 95116"
171,GOOD SAMARITAN HOSPITAL,2425 SAMARITAN DR,SAN JOSE,CA,95124,100.0,,Good Samaritan Hospital-San Jose,2425 Samaritan Dr,San Jose,CA,95124,y,"GOOD SAMARITAN HOSPITAL, 2425 SAMARITAN DR, SAN JOSE, CA, 95124","Good Samaritan Hospital-San Jose, 2425 Samaritan Dr, San Jose, CA, 95124"
172,O CONNOR HOSPITAL,2105 FOREST AVE,SAN JOSE,CA,95128,100.0,,O Connor Hospital - San Jose,2105 Forest Ave,San Jose,CA,95128,y,"O CONNOR HOSPITAL, 2105 FOREST AVE, SAN JOSE, CA, 95128","O Connor Hospital - San Jose, 2105 Forest Ave, San Jose, CA, 95128"
173,SANTA CLARA VALLEY MEDICAL CENTER,751 S BASCOM AVE,SAN JOSE,CA,95128,100.0,,Santa Clara Valley Medical Center,751 S Bascom Ave,San Jose,CA,95128,y,"SANTA CLARA VALLEY MEDICAL CENTER, 751 S BASCOM AVE, SAN JOSE, CA, 95128","Santa Clara Valley Medical Center, 751 S Bascom Ave, San Jose, CA, 95128"
175,SAN JOAQUIN GENERAL HOSPITAL,500 W HOSPITAL RD,FRENCH CAMP,CA,95231,100.0,,San Joaquin General Hospital,500 W Hospital Rd,French Camp,CA,95231,y,"SAN JOAQUIN GENERAL HOSPITAL, 500 W HOSPITAL RD, FRENCH CAMP, CA, 95231","San Joaquin General Hospital, 500 W Hospital Rd, French Camp, CA, 95231"
176,LODI MEMORIAL HOSPITAL,975 S FAIRMONT AVE,LODI,CA,95240,100.0,,Lodi Memorial Hospital,975 S Fairmont Ave,Lodi,CA,95240,y,"LODI MEMORIAL HOSPITAL, 975 S FAIRMONT AVE, LODI, CA, 95240","Lodi Memorial Hospital, 975 S Fairmont Ave, Lodi, CA, 95240"
177,MEDICAL CENTER,1441 FLORIDA AVE,MODESTO,CA,95350,100.0,,Doctors Medical Center,1441 Florida Ave,Modesto,CA,95350,y,"MEDICAL CENTER, 1441 FLORIDA AVE, MODESTO, CA, 95350","Doctors Medical Center, 1441 Florida Ave, Modesto, CA, 95350"
178,MEMORIAL MEDICAL CENTER,1700 COFFEE RD,MODESTO,CA,95355,100.0,,Memorial Hospital Medical Center -,1700 Coffee Rd,Modesto,CA,95355,y,"MEMORIAL MEDICAL CENTER, 1700 COFFEE RD, MODESTO, CA, 95355","Memorial Hospital Medical Center -, 1700 Coffee Rd, Modesto, CA, 95355"
179,SONORA REGIONAL MEDICAL CENTER,1000 GREENLEY RD,SONORA,CA,95370,100.0,,Sonora Regional Medical Center-Gree,1000 Greenley Rd,Sonora,CA,95370,y,"SONORA REGIONAL MEDICAL CENTER, 1000 GREENLEY RD, SONORA, CA, 95370","Sonora Regional Medical Center-Gree, 1000 Greenley Rd, Sonora, CA, 95370"
